TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
202,'189719j.JPG',IOWA,OLD,M,189719j.JPG,29.316528,12.270176,32.234192,11.071136,33.053536,11.270976,32.793744,12.410064,35.091904,12.39008,37.72789676,13.73949307,37.44306858,13.0614748,40.26776,13.928848,41.446816,13.429248,40.487584,12.629888,40.387664,10.271776,36.131072,10.151872,30.635472,10.29176,30.255776,11.770576,31.594704,11.430848,32.57392,11.870496,34.392464,11.570736,35.811328,12.470016,36.67064,13.229408,39.548336,11.69064,39.328512,10.771376,39.987984,10.271776,27.198224,14.308544,28.836912,12.729808
201,'189720j.JPG',IOWA,OLD,F,189720j.JPG,29.484416,11.7624,31.95452,10.48814,32.973928,10.644972,32.73868,11.585964,34.7971,11.487944,37.93374,12.977848,37.63968,12.272104,40.227408,12.409332,41.129192,11.821212,40.20795963,11.26571808,39.48944583,8.998161708,35.463636,9.370712,30.131348,10.037248,30.209764,11.389924,30.954716,11.037052,32.385808,11.095864,34.346208,10.919428,35.953736,11.644776,36.973144,12.487748,39.40854733,10.73291747,38.82419659,9.943058705,38.99516353,9.277505819,27.504412,13.938444,28.759068,12.683788
205,'189721j.JPG',IOWA,OLD,M,189721j.JPG,30.105712,12.916708,32.561284,11.4793,33.419736,11.519228,33.299952,12.357716,35.575848,12.17804,39.12944,13.735232,38.390772,12.956636,40.966128,13.196204,42.163968,12.357716,40.89803509,11.75367639,40.09996911,9.076838744,36.194732,9.982,31.004092,10.720668,30.9442,12.357716,31.9424,11.858616,33.04042,11.998364,35.176568,11.918508,36.83358,12.537392,38.03142,13.495664,39.92317345,11.13467892,39.29933473,10.24121745,39.53018946,9.44829054,28.269024,15.252496,29.686468,13.37588
204,'189722j.JPG',IOWA,OLD,,189722j.JPG,27.283113,11.363157,30.090255,10.305672,30.724746,10.344126,30.340206,11.324703,32.647446,11.593881,35.454588,13.631943,35.146956,12.862863,37.569558,13.439673,38.83854,12.88209,37.915644,12.362961,37.742601,9.959586,33.64725,9.632727,28.45596,9.594273,28.744365,10.786347,29.782623,10.709439,30.244071,11.093979,32.262906,10.728666,33.570342,11.843832,34.531692,13.055133,37.281153,11.863059,36.858159,11.074752,37.031202,10.19031,24.975873,13.497354,26.667849,11.843832
200,'189723j.JPG',IOWA,OLD,,189723j.JPG,29.202002,11.485226,31.483708,10.469004,32.135624,10.488178,32.039754,11.370182,34.244764,11.370182,37.619388,13.03832,36.967472,12.36723,39.364222,12.712362,40.418792,12.041272,39.3350092,11.47508649,38.72902305,9.097093515,34.99255,9.414434,30.00731,9.740392,30.256572,11.082572,31.081054,10.775788,31.943884,11.005876,33.669544,10.83331,35.414378,11.715314,36.507296,12.693188,38.49641234,10.89817886,37.96821214,10.07263562,38.20485202,9.387233158,26.958644,13.862802,28.511738,12.17549
211,'189728j.JPG',EMND,OLD,F,189728j.JPG,28.366988,11.683984,31.150756,10.527348,32.013332,10.507744,31.640856,11.723192,34.01294,11.742796,36.973144,13.585572,36.914332,12.997452,39.30602,13.585572,40.658696,13.03666,39.756912,12.311312,39.443248,9.821604,34.914724,9.60596,29.20996,9.90002,29.092336,11.448736,30.405804,11.056656,31.444816,11.311508,33.287592,10.919428,34.973536,11.978044,35.894924,12.821016,38.874732,11.703588,38.502256,10.762596,39.129584,10.056852,26.092924,13.840424,27.798472,12.174084
212,'189730j.JPG',EMND,OLD,M,189730j.JPG,29.173977,11.383533,32.054148,10.403883,32.877054,10.97208,32.406822,11.305161,34.738389,11.520684,38.01042,13.51917,37.61856,12.93138,40.302801,13.421205,41.419602,13.088124,40.773033,12.441555,40.714254,9.561384,36.364608,9.385047,30.153627,9.483012,29.898918,11.148417,31.113684,10.658592,32.171706,10.874115,33.935076,11.207196,35.639667,11.912544,36.83484,13.009752,39.910941,11.7558,39.617046,10.638999,40.439952,9.7965,26.940375,13.51917,28.625373,12.030102
210,'189731j.JPG',EMND,OLD,M,189731j.JPG,29.311128,11.246382,31.956183,10.345104,32.622345,10.58022,32.367636,11.501091,34.699203,11.736207,37.696932,14.244111,37.481409,13.538763,40.146057,14.283297,41.458788,13.675914,40.498731,13.107717,40.067685,10.051209,36.207864,9.60057,30.408336,9.502605,30.094848,10.952487,31.525137,10.697778,32.230485,11.089638,33.797925,10.932894,35.580888,12.010509,36.501759,13.048938,39.57786,12.14766,39.146814,10.893708,39.499488,10.247139,26.705259,13.499577,28.644966,11.775393
209,'190130j.JPG',EMND,OLD,F,190130j.JPG,30.325316,11.67894,33.24006,10.401244,34.13844,10.740632,33.63934,11.718868,35.975128,11.718868,39.62854,13.87498,39.249224,13.196204,41.664868,13.695304,42.962528,13.056456,42.303716,12.57732,41.684832,9.842252,37.073148,9.522828,31.24366,9.722468,31.283588,11.199804,32.601212,10.840452,33.4397,11.219768,35.715596,11.299624,37.312716,12.17804,38.390772,13.256096,41.485192,12.038292,40.72656,10.940272,41.345444,9.962036,28.129276,13.635412,29.666504,12.17804
178,'25727j.JPG',IOWA,OLD,F,25727j.JPG,19.23415,4.952415,22.278295,3.75596,23.005255,3.87712,22.68721,5.043285,25.23157,5.39162,28.336295,7.39076,28.124265,6.78496,31.01696,7.36047,32.516315,6.648655,31.22899,5.770245,31.577325,3.18045,26.276575,2.7261,20.2943,2.922985,20.26401,4.48292,21.339305,4.18002,22.44489,4.60408,24.65606,4.39205,26.458315,5.709665,27.38216,6.99699,30.50203,4.93727,30.25971,3.801395,31.07754,3.27132,16.93211,6.860685,18.764655,5.24017
175,'25733j.JPG',IOWA,OLD,M,25733j.JPG,-30.03084,4.16976,-27.93168,3.25584,-26.44656,3.48432,-27.2034,4.39824,-25.00428,4.44108,-22.36248,6.29748,-22.47672,5.89764,-19.52076,6.04044,-18.29268,5.34072,-19.57788,4.65528,-19.57788,2.38476,-23.81904,2.27052,-30.18792,2.84172,-29.33112,3.8556,-28.16016,3.62712,-27.46044,3.95556,-25.51836,4.08408,-23.93328,5.09796,-23.0622,5.91192,-20.09196,4.26972,-20.50608,3.41292,-20.26332,2.69892,-32.75832,6.61164,-31.14468,5.0694
182,'25740j.JPG',IOWA,OLD,M,25740j.JPG,19.238736,4.679301,21.947805,3.433419,22.440363,3.824568,22.440363,4.606866,24.598926,4.534431,27.684657,6.533637,27.307995,6.041079,30.176421,6.301845,31.219485,5.591982,30.248856,5.113911,30.118473,2.245485,25.613016,2.404842,19.99206,2.767017,19.919625,4.331613,21.020637,3.853542,22.223058,4.114308,23.773167,3.839055,25.35225,4.882119,26.583645,6.012105,29.567967,4.404048,29.176818,3.201627,29.582454,2.448303,16.935303,6.721968,18.485412,5.21532
