TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
202,'ND017s.JPG',EMND,NEW,,ND017s.JPG,25.094542,18.57537,23.856184,19.813728,29.193934,21.607212,35.115278,18.119882,34.118898,17.635926,31.10129,18.447264,30.81661,19.956068,28.852318,19.756792,25.393456,19.116262,26.361368,19.386708,27.428918,19.344006,28.937722,19.130496,34.104664,18.390328,32.723966,18.817348,31.585246,19.344006,37.421186,18.731944,25.236882,16.668014,25.293818,17.93484
136,'ND019s.JPG',EMND,NEW,,ND019s.JPG,20.694162,16.429824,19.524678,17.442426,24.587688,20.066634,30.649038,16.97178,29.80758,16.215894,26.627154,16.729326,25.971102,18.925674,24.345234,17.984382,20.979402,17.085876,22.60527,17.371116,24.088518,17.32833,25.52898,17.100138,29.66496,17.199972,28.02483,17.499474,26.898132,18.069954,32.460312,17.741928,20.793996,14.461668,20.836782,15.659676
218,'ND020s.JPG',EMND,NEW,,ND020s.JPG,15.812388,16.169488,14.469692,16.883688,19.440524,19.56908,25.811188,16.512304,25.082704,15.912376,21.540272,16.255192,21.183172,18.197816,19.197696,17.740728,16.340896,16.7837,17.56932,16.969392,18.869164,17.040812,20.611812,16.883688,24.482776,16.540872,23.397192,16.912256,22.025928,17.64074,27.882368,17.412196,16.098068,13.99832,15.940944,15.369584
148,'ND022s.JPG',EMND,NEW,,ND022s.JPG,18.006457,17.283042,17.059441,18.519424,22.320641,20.531833,27.410852,16.954217,26.608519,16.546474,23.491258,17.309348,23.333422,18.690413,21.781368,18.4142,18.401047,17.796009,19.847877,17.953845,21.215789,17.88808,22.478477,17.62502,26.450683,17.164665,25.043312,17.638173,23.964766,18.137987,29.686321,18.28267,18.085375,15.073338,18.177446,16.296567
219,'ND024s.JPG',EMND,NEW,,ND024s.JPG,-32.196136,15.92666,-33.253152,17.083664,-28.810828,18.654904,-23.440044,15.99808,-23.839996,15.612412,-27.28244,15.99808,-27.382428,17.326492,-29.125076,17.097948,-32.110432,16.598008,-30.981996,16.92654,-29.953548,16.797984,-28.49658,16.540872,-24.825592,16.555156,-25.982596,16.883688,-26.953908,17.083664,-21.811668,16.512304,-31.981876,14.312568,-32.039012,15.512424
159,'ND025s.JPG',EMND,NEW,,ND025s.JPG,23.019494,17.957174,21.838286,19.152444,27.49121,21.613294,33.425374,18.744646,32.48322,17.85874,29.164588,18.463406,28.981782,19.953978,26.99904,19.714924,23.469478,18.63215,25.156918,18.997762,26.50687,19.011824,27.786512,19.025886,32.637902,18.758708,31.133268,18.927452,29.825502,19.532118,35.29562,19.644614,23.075742,15.847874,23.146052,17.240012
174,'ND026s.JPG',EMND,NEW,,ND026s.JPG,18.80676,19.16376,17.65008,20.46324,23.16216,22.134,29.03124,19.30656,28.40292,18.64968,25.28988,19.22088,24.94716,20.67744,22.76232,20.5632,19.83492,19.635,21.36288,19.89204,22.86228,19.83492,24.21888,19.64928,28.16016,19.46364,27.16056,19.76352,25.80396,20.33472,31.11612,20.62032,18.89244,16.80756,18.89244,18.59256
220,'ND027s.JPG',EMND,NEW,,ND027s.JPG,23.42576,16.369464,22.154484,17.440764,26.468252,19.897612,32.024728,17.583604,31.824752,17.06938,28.253752,17.112232,28.153764,18.754892,26.396832,18.254952,23.697156,17.097948,24.6399,17.526468,25.611212,17.697876,27.082464,17.740728,31.124836,17.797864,29.810708,18.054976,28.610852,18.483496,34.124476,18.28352,23.682872,14.769656,23.540032,15.812388
221,'ND028s.JPG',EMND,NEW,,ND028s.JPG,15.14104,15.483856,14.026888,16.49802,18.797744,18.78346,24.268516,16.7837,23.9257,16.112352,20.697516,16.340896,20.311848,17.71216,18.754892,17.197936,15.42672,16.012364,16.583724,16.455168,17.983556,16.512304,19.797624,16.49802,23.340056,17.012244,22.311608,17.297924,21.026048,17.483616,26.28256,17.655024,15.598128,13.726924,15.3553,14.898212
222,'ND029s.JPG',EMND,NEW,,ND029s.JPG,14.298284,16.183772,12.941304,17.269356,18.654904,19.669068,24.539912,16.883688,23.954268,15.883808,20.468972,16.655144,20.311848,18.183532,18.240668,17.869284,14.42684,16.897972,15.812388,17.28364,17.683592,17.440764,19.654784,17.255072,23.654304,16.983676,22.78298,17.21222,21.111752,17.655024,26.896772,17.312208,14.526828,14.041172,14.626816,15.455288
223,'ND031s.JPG',EMND,NEW,,ND031s.JPG,-17.226504,17.055096,-18.240668,18.169248,-13.184132,19.697636,-7.484816,16.697996,-8.041892,16.169488,-11.341496,16.797984,-11.112952,18.040692,-13.241268,18.269236,-16.769416,17.583604,-15.85524,17.797864,-14.469692,17.740728,-12.755612,17.4979,-8.35614,16.92654,-9.541712,17.412196,-10.670148,17.883568,-5.199376,17.255072,-17.126516,14.983916,-17.055096,16.455168
224,'ND032s.JPG',EMND,NEW,,ND032s.JPG,23.454328,14.85536,22.340176,15.812388,27.4967,18.440644,33.538832,15.78382,32.938904,15.06962,29.367904,15.383868,29.182212,16.983676,27.182452,16.626576,23.839996,15.49814,25.239828,15.883808,27.011044,15.840956,28.410876,15.698116,32.581804,15.912376,31.410516,16.055216,30.367784,16.326612,35.681432,16.598008,23.625736,12.827032,23.49718,14.098308
225,'ND033s.JPG',EMND,NEW,,ND033s.JPG,33.096028,15.726684,31.967592,16.655144,36.28136,18.954868,41.837836,17.297924,41.523588,16.312328,38.024008,16.483736,37.838316,17.99784,36.109952,17.326492,33.524548,16.398032,34.581564,16.669428,36.13852,16.740848,37.20982,16.612292,40.723684,17.255072,39.49526,17.440764,38.609652,17.71216,43.766176,17.78358,33.524548,14.06974,33.624536,15.14104
226,'ND034s.JPG',EMND,NEW,,ND034s.JPG,14.912496,15.740968,13.5698,16.612292,18.269236,18.340656,24.597048,16.298044,23.911416,15.626696,20.42612,15.898092,20.111872,17.512184,18.2121,16.840836,15.383868,16.340896,16.64086,16.555156,18.340656,16.512304,19.554796,16.28376,23.611452,16.383748,22.154484,16.7837,20.99748,17.169368,25.939744,16.512304,15.241028,13.726924,15.183892,15.112472
135,'ND035s.JPG',EMND,NEW,,ND035s.JPG,19.83124,16.766412,18.638592,17.95906,23.589468,20.053128,29.386292,17.279528,28.84544,16.22556,25.544856,16.946696,25.142684,18.7218,23.284372,18.319628,19.983788,17.19632,21.134832,17.487548,22.660312,17.640096,24.255132,17.529152,28.831572,17.210188,27.472508,17.501416,26.085708,18.111608,31.61904,17.806512,19.983788,14.589136,19.997656,15.962068
227,'ND036s.JPG',EMND,NEW,,ND036s.JPG,21.64026,16.155204,20.169008,17.312208,26.13972,19.2834,32.453248,16.812268,31.7819,15.983796,28.125196,16.340896,27.868084,17.99784,25.63978,17.669308,21.911656,16.826552,23.254352,17.055096,24.839876,17.06938,26.739648,16.883688,31.35338,16.940824,30.024968,17.126516,28.682272,17.64074,34.867244,17.755012,21.911656,13.826912,21.868804,15.312448
173,'ND039s.JPG',EMND,NEW,,ND039s.JPG,24.033204,18.035316,23.04744,18.993312,27.948492,20.992608,33.557628,18.410184,33.071688,17.827056,29.836716,18.201924,29.475732,19.687512,27.69858,19.340412,24.671868,18.590676,26.074152,18.771168,27.434784,18.7434,28.573272,18.67398,32.474676,18.646212,31.572216,18.965544,30.350424,19.326528,35.556924,19.02108,24.463608,16.258164,24.449724,17.271696
153,'ND099s.JPG',EMND,NEW,,ND099s.JPG,21.509436,17.515212,20.402928,18.446298,24.9639,20.537868,30.793308,17.569188,29.943186,17.00244,26.78559,17.555694,26.488722,19.174974,24.977394,18.702684,21.887268,18.027984,23.020764,18.257382,24.397152,18.243888,26.002938,18.01449,29.6868,17.623164,28.688244,18.027984,26.893542,18.797142,32.58801,18.122442,21.779316,15.38316,21.833292,16.8675
228,'ND111s.JPG',EMND,NEW,,ND111s.JPG,17.055096,15.06962,15.826672,16.369464,21.611692,18.383508,27.339576,15.555276,26.811068,14.841076,23.397192,15.483856,23.240068,17.097948,21.168888,16.555156,17.455048,15.683832,18.583484,15.869524,20.268996,15.983796,22.440164,15.683832,26.396832,15.64098,24.85416,16.040932,23.868564,16.64086,30.096388,16.369464,17.35506,12.71276,17.269356,14.21258
172,'ND128s.JPG',EMND,NEW,,ND128s.JPG,25.19946,18.174156,23.713872,19.034964,28.94814,21.145332,34.612812,18.424068,34.0158,17.715984,30.766944,18.271344,30.8919,19.326528,28.767648,19.534788,25.449372,18.896124,27.323712,19.132152,28.920372,18.868356,29.933904,18.632328,33.765888,18.46572,32.34972,18.81282,31.405608,19.076616,36.58434,18.937776,25.074504,16.216512,25.157808,17.827056
229,'ND222s.JPG',EMND,NEW,,ND222s.JPG,23.625736,16.555156,22.4973,17.71216,27.810948,20.368984,34.024488,17.340776,33.410276,16.583724,29.939264,16.99796,29.439324,18.683472,27.56812,18.254952,24.254232,17.340776,25.49694,17.612172,27.368144,17.56932,28.85368,17.440764,33.081744,17.455048,32.010444,17.726444,30.410636,18.169248,36.609892,18.197816,23.182932,15.198176,23.382908,16.255192
